FECHA;PRECIO DÓLAR;KO;VALOR INV;VALOR COP;GAN/PER
24/09/2025; $ 3.856,86 ; $ 66,45 ; $ 7,24 ; $ 27.909,80 ; $ 0,30 
25/09/2025; $ 3.869,36 ; $ 65,98 ; $ 7,19 ; $ 27.802,21 ; $ 0,25 
26/09/2025; $ 3.904,35 ; $ 65,67 ; $ 7,15 ; $ 27.921,81 ; $ 0,21 
29/09/2025; $ 3.883,97 ; $ 66,04 ; $ 7,19 ; $ 27.932,56 ; $ 0,25 
30/09/2025; $ 3.917,16 ; $ 66,32 ; $ 7,22 ; $ 28.290,70 ; $ 0,28 
1/10/2025; $ 3.925,23 ; $ 66,78 ; $ 7,27 ; $ 28.545,61 ; $ 0,33 
2/10/2025; $ 3.881,35 ; $ 66,10 ; $ 7,20 ; $ 27.939,08 ; $ 0,26 
3/10/2025; $ 3.886,36 ; $ 66,65 ; $ 7,26 ; $ 28.207,92 ; $ 0,32 
6/10/2025; $ 3.860,89 ; $ 66,10 ; $ 7,20 ; $ 27.791,81 ; $ 0,26 
7/10/2025; $ 3.864,33 ; $ 66,79 ; $ 7,27 ; $ 28.106,94 ; $ 0,33 
8/10/2025; $ 3.874,48 ; $ 66,12 ; $ 7,20 ; $ 27.898,07 ; $ 0,26 
9/10/2025; $ 3.894,31 ; $ 66,37 ; $ 7,23 ; $ 28.146,88 ; $ 0,29 
10/10/2025; $ 3.885,65 ; $ 66,80 ; $ 7,27 ; $ 28.266,24 ; $ 0,33 
11/10/2025; $ 3.923,11 ; $ 67,51 ; $ 7,35 ; $ 28.842,07 ; $ 0,41 
15/10/2025; $ 3.925,75 ; $ 67,08 ; $ 7,31 ; $ 28.677,65 ; $ 0,37 
16/10/2025; $ 3.894,73 ; $ 67,59 ; $ 7,36 ; $ 28.667,36 ; $ 0,42 
17/10/2025; $ 3.851,22 ; $ 68,44 ; $ 7,45 ; $ 28.703,59 ; $ 0,51 
20/10/2025; $ 3.830,91 ; $ 68,44 ; $ 7,45 ; $ 28.552,22 ; $ 0,51 
21/10/2025; $ 3.906,07 ; $ 71,22 ; $ 7,76 ; $ 30.294,92 ; $ 0,82 
22/10/2025; $ 3.906,07 ; $ 70,81 ; $ 7,71 ; $ 30.120,52 ; $ 0,77 
23/10/2025; $ 3.906,07 ; $ 69,94 ; $ 7,62 ; $ 29.750,45 ; $ 0,68 
24/10/2025; $ 3.879,73 ; $ 69,71 ; $ 7,59 ; $ 29.452,66 ; $ 0,65 
27/10/2025; $ 3.866,55 ; $ 70,06 ; $ 7,63 ; $ 29.499,97 ; $ 0,69 
28/10/2025; $ 3.846,89 ; $ 68,35 ; $ 7,44 ; $ 28.633,61 ; $ 0,50 
29/10/2025; $ 3.897,82 ; $ 68,35 ; $ 7,44 ; $ 29.012,70 ; $ 0,50 
6/11/2025; $ 3.828,44 ; $ 69,06 ; $ 7,52 ; $ 28.792,30 ; $ 0,58 
7/11/2025; $ 3.784,60 ; $ 70,55 ; $ 7,68 ; $ 29.076,68 ; $ 0,74 
10/11/2025; $ 3.784,60 ; $ 70,52 ; $ 7,68 ; $ 29.064,32 ; $ 0,74 
